scenario,model,population,R0,herd_immunity_threshold,peak_infected,peak_infected_pct,peak_day,Rt_final,total_ever_infected,attack_rate,total_dead,realised_ifr,early_growth_rate_per_day,doubling_time_days,epidemic_duration_days
SIR,SIR,1000000.0,2.79,0.6415770609318996,273693.5271137202,0.2736935271137202,36.0,0.2117608887089067,924100.0398892808,0.9241000398892808,0.0,0.0,0.2750792464012271,2.519809071851715,106.0
SEIR,SEIR,1000000.0,2.79,0.6415770609318996,166376.28290221345,0.16637628290221346,74.0,0.21176088965888307,924100.0395487873,0.9241000395487873,0.0,0.0,0.11675438050204447,5.936798067699119,157.0
SEIRD,SEIRD,1000000.0,2.79,0.6415770609318996,166376.28271354194,0.16637628271354193,74.0,0.21176088965803788,924100.0395490897,0.9241000395490897,6283.880268931898,0.006799999999997931,0.1167543805022403,5.936798067689161,157.0
SEIRDV (0.5%/day vacc.),SEIRDV,1000000.0,2.79,0.6415770609318996,69345.79163397886,0.06934579163397886,84.0,0.10394416234017506,525033.3388843135,0.5250333388843135,3570.22670441174,0.006799999999996968,0.11041672603333236,6.277555995915868,177.0
